# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0800108C	0x080010B7	thumb	Unused_ResetBgControlStruct
0x080010B8	0x080011E3	thumb	SetBgControlAttributes
0x080011E4	0x08001297	thumb	GetBgControlAttribute
0x08001298	0x0800131F	thumb	LoadBgVram
0x08001320	0x0800139B	thumb	ShowBgInternal
0x0800139C	0x080013CF	thumb	HideBgInternal
0x080013D0	0x080013F3	thumb	SyncBgVisibilityAndMode
0x080013F4	0x0800140F	thumb	SetTextModeAndHideBgs
0x08001410	0x080014D9	thumb	SetBgAffineInternal
0x080014DC	0x080014EF	thumb	IsInvalidBg
0x080014F0	0x08001617	thumb	BgTileAllocOp
0x08001618	0x08001657	thumb	ResetBgsAndClearDma3BusyFlags
0x08001658	0x08001737	thumb	InitBgsFromTemplates
0x08001738	0x080017CF	thumb	InitBgFromTemplate
0x080017D0	0x08001887	thumb	LoadBgTiles
0x08001888	0x080018D7	thumb	LoadBgTilemap
0x080018D8	0x0800195F	thumb	Unused_LoadBgPalette
0x08001960	0x080019BB	thumb	IsDma3ManagerBusyWithBgCopy
0x080019BC	0x080019CD	thumb	ShowBg
0x080019D0	0x080019E1	thumb	HideBg
0x080019E4	0x08001AA5	thumb	SetBgAttribute
0x08001AA8	0x08001B8F	thumb	GetBgAttribute
0x08001B90	0x08001CCB	thumb	ChangeBgX
0x08001CCC	0x08001D05	thumb	GetBgX
0x08001D08	0x08001E43	thumb	ChangeBgY
0x08001E44	0x08001E7D	thumb	GetBgY
0x08001E80	0x08001EBF	thumb	SetBgAffine
0x08001EC0	0x08001F9F	thumb	AdjustBgMosaic
0x08001FA0	0x08001FD3	thumb	SetBgTilemapBuffer
0x08001FD4	0x08002007	thumb	UnsetBgTilemapBuffer
0x08002008	0x0800203F	thumb	GetBgTilemapBuffer
0x08002040	0x080020BB	thumb	CopyToBgTilemapBuffer
0x080020BC	0x08002123	thumb	CopyBgTilemapBufferToVram
0x08002124	0x08002227	thumb	CopyToBgTilemapBufferRect
0x08002228	0x0800226B	thumb	CopyToBgTilemapBufferRect_ChangePalette
0x0800226C	0x08002453	thumb	CopyRectToBgTilemapBufferRect
0x08002454	0x08002553	thumb	FillBgTilemapBufferRect_Palette0
0x08002554	0x0800258F	thumb	FillBgTilemapBufferRect
0x08002590	0x0800273B	thumb	WriteSequenceToBgTilemapBuffer
0x0800273C	0x080027A9	thumb	GetBgMetricTextMode
0x080027AC	0x08002803	thumb	GetBgMetricAffineMode
0x08002804	0x08002839	thumb	GetTileMapIndexFromCoords
0x0800283C	0x08002897	thumb	CopyTileMapEntry
0x08002898	0x080028EB	thumb	GetBgType
0x080028EC	0x080028FF	thumb	IsInvalidBg32
0x08002900	0x08002929	thumb	IsTileMapOutsideWram
0x0800292C	0x08002947	thumb	PutMemBlockHeader
0x08002948	0x08002959	thumb	PutFirstMemBlockHeader
0x0800295C	0x08002A07	thumb	AllocInternal
0x08002A08	0x08002AE7	thumb	FreeInternal
0x08002AE8	0x08002B25	thumb	AllocZeroedInternal
0x08002B28	0x08002B7F	thumb	CheckMemBlockInternal
0x08002B80	0x08002B9B	thumb	InitHeap
0x08002B9C	0x08002BAF	thumb	Alloc
0x08002BB0	0x08002BC3	thumb	AllocZeroed
0x08002BC4	0x08002BD7	thumb	Free
0x08002BD8	0x08002BEB	thumb	CheckMemBlock
0x08002BEC	0x08002C1B	thumb	CheckHeap
0x08002C1C	0x08002C27	thumb	SetFontsPointer
0x08002C28	0x08002C47	thumb	DeactivateAllTextPrinters
0x08002C48	0x08002CF3	thumb	AddTextPrinterParameterized
0x08002CF4	0x08002DE7	thumb	AddTextPrinter
0x08002DE8	0x08002E63	thumb	RunTextPrinters
0x08002E64	0x08002E7B	thumb	IsTextPrinterActive
0x08002E7C	0x08002EA7	thumb	RenderFont
0x08002EA8	0x08002F5B	thumb	GenerateFontHalfRowLookupTable
0x08002F5C	0x08002F7B	thumb	SaveTextColors
0x08002F7C	0x08002F8B	thumb	RestoreTextColors
0x08002F8C	0x08002FC9	thumb	DecompressGlyphTile
0x08002FCC	0x08003011	thumb	GetLastTextColor
0x08003014	0x08003613	thumb	CopyGlyphToWindow
0x08003614	0x08003B1B	thumb	CopyGlyphToWindow_Parameterized
0x08003B1C	0x08003B1D	thumb	ClearTextSpan
0x08003B20	0x08003B21	thumb	nullsub_8
0x08003B24	0x08003CE3	thumb	InitWindows
0x08003CE4	0x08003E3B	thumb	AddWindow
0x08003E3C	0x08003ECB	thumb	RemoveWindow
0x08003ECC	0x08003F1F	thumb	FreeAllWindowBuffers
0x08003F20	0x08003F9D	thumb	CopyWindowToVram
0x08003FA0	0x08003FFF	thumb	PutWindowTilemap
0x08004000	0x080040B7	thumb	PutWindowRectTilemapOverridePalette
0x080040B8	0x08004107	thumb	ClearWindowTilemap
0x08004108	0x080041B7	thumb	PutWindowRectTilemap
0x080041B8	0x080041EF	thumb	BlitBitmapToWindow
0x080041F0	0x080042AF	thumb	BlitBitmapRectToWindow
0x080042B0	0x08004377	thumb	BlitBitmapRectToWindowWithColorKey
0x08004378	0x08004403	thumb	FillWindowPixelRect
0x08004404	0x0800445B	thumb	CopyToWindowPixelBuffer
0x0800445C	0x080044A7	thumb	FillWindowPixelBuffer
0x080044A8	0x08004869	thumb	ScrollWindow
0x0800486C	0x080048BB	thumb	CallWindowFunction
0x080048BC	0x0800494D	thumb	SetWindowAttribute
0x08004950	0x08004A31	thumb	GetWindowAttribute
0x08004A34	0x08004A5F	thumb	GetNumActiveWindowsOnBg
0x08004A60	0x08004AA3	thumb	BlitBitmapRect4BitWithoutColorKey
0x08004AA4	0x08004C81	thumb	BlitBitmapRect4Bit
0x08004C84	0x08004D3F	thumb	FillBitmapRect4Bit
0x08004D40	0x08004F8D	thumb	BlitBitmapRect4BitTo8Bit
0x08004F90	0x08005033	thumb	FillBitmapRect8Bit
0x08005034	0x08005035	thumb	nullsub_9
0x08005038	0x0800513F	thumb	AddWindow8Bit
0x08005140	0x0800517F	thumb	FillWindowPixelBuffer8Bit
0x08005180	0x0800520B	thumb	FillWindowPixelRect8Bit
0x0800520C	0x080052D7	thumb	BlitBitmapRectToWindow4BitTo8Bit
0x080052D8	0x0800534D	thumb	CopyWindowToVram8Bit
0x08005350	0x0800537B	thumb	GetNumActiveWindowsOnBg8Bit
0x0800537C	0x080053AD	thumb	FontFunc_Small
0x080053B0	0x080053E5	thumb	FontFunc_NormalCopy1
0x080053E8	0x0800541D	thumb	FontFunc_Normal
0x08005420	0x08005455	thumb	FontFunc_NormalCopy2
0x08005458	0x0800548D	thumb	FontFunc_Male
0x08005490	0x080054C5	thumb	FontFunc_Female
0x080054C8	0x080054F7	thumb	TextPrinterInitDownArrowCounters
0x080054F8	0x080055D3	thumb	TextPrinterDrawDownArrow
0x080055D4	0x08005605	thumb	TextPrinterClearDownArrow
0x08005608	0x08005631	thumb	TextPrinterWaitAutoMode
0x08005634	0x0800567F	thumb	TextPrinterWaitWithDownArrow
0x08005680	0x080056C3	thumb	TextPrinterWait
0x080056C4	0x0800578F	thumb	DrawDownArrow
0x08005790	0x08005D6F	thumb	RenderText
0x08005D70	0x08005EA1	thumb	GetStringWidthFixedWidthFont
0x08005EA4	0x08005ED1	thumb	GetFontWidthFunc
0x08005ED4	0x08006121	thumb	GetStringWidth
0x08006124	0x080062AF	thumb	RenderTextHandleBold
0x080062B0	0x080062FD	thumb	SpriteCB_TextCursor
0x08006300	0x08006397	thumb	CreateTextCursorSprite
0x08006398	0x080063C7	thumb	DestroyTextCursorSprite
0x080063C8	0x08006417	thumb	DrawKeypadIcon
0x08006418	0x08006427	thumb	GetKeypadIconTileOffset
0x08006428	0x08006437	thumb	GetKeypadIconWidth
0x08006438	0x08006447	thumb	GetKeypadIconHeight
0x08006448	0x080064CF	thumb	DecompressGlyph_Small
0x080064D0	0x080064ED	thumb	GetGlyphWidth_Small
0x080064F0	0x08006597	thumb	DecompressGlyph_NormalCopy1
0x08006598	0x080065B5	thumb	GetGlyphWidth_NormalCopy1
0x080065B8	0x080066F7	thumb	DecompressGlyph_Normal
0x080066F8	0x08006723	thumb	GetGlyphWidth_Normal
0x08006724	0x080067CB	thumb	DecompressGlyph_NormalCopy2
0x080067CC	0x080067E9	thumb	GetGlyphWidth_NormalCopy2
0x080067EC	0x0800692B	thumb	DecompressGlyph_Male
0x0800692C	0x08006957	thumb	GetGlyphWidth_Male
0x08006958	0x08006A97	thumb	DecompressGlyph_Female
0x08006A98	0x08006AC3	thumb	GetGlyphWidth_Female
0x08006AC4	0x08006B0F	thumb	DecompressGlyph_Bold
0x08006B10	0x08006B5B	thumb	ResetSpriteData
0x08006B5C	0x08006BA7	thumb	AnimateSprites
0x08006BA8	0x08006BF3	thumb	BuildOamBuffer
0x08006BF4	0x08006CB5	thumb	UpdateOamCoords
0x08006CB8	0x08006CF7	thumb	BuildSpritePriorities
0x08006CF8	0x08006EB7	thumb	SortSprites
0x08006EB8	0x08006F03	thumb	CopyMatricesToOamBuffer
0x08006F04	0x08006F8B	thumb	AddSpritesToOamBuffer
0x08006F8C	0x08006FDF	thumb	CreateSprite
0x08006FE0	0x08007049	thumb	CreateSpriteAtEnd
0x0800704C	0x08007093	thumb	CreateInvisibleSprite
0x08007094	0x080071EB	thumb	CreateSpriteAt
0x080071EC	0x0800727F	thumb	CreateSpriteAndAnimate
0x08007280	0x080072E7	thumb	DestroySprite
0x080072E8	0x0800731F	thumb	ResetOamRange
0x08007320	0x0800734F	thumb	LoadOam
0x08007350	0x0800738F	thumb	ClearSpriteCopyRequests
0x08007390	0x080073BB	thumb	ResetOamMatrices
0x080073BC	0x080073DB	thumb	SetOamMatrix
0x080073DC	0x080073EF	thumb	ResetSprite
0x080073F0	0x08007433	thumb	CalcCenterToCornerVec
0x08007434	0x0800754F	thumb	AllocSpriteTiles
0x08007550	0x080075BF	thumb	SpriteTileAllocBitmapOp
0x080075C0	0x0800760B	thumb	FreeSpriteTilesIfNotUsingSheet
0x0800760C	0x0800760D	thumb	SpriteCallbackDummy
0x08007610	0x0800766B	thumb	ProcessSpriteCopyRequests
0x0800766C	0x080076CF	thumb	RequestSpriteFrameImageCopy
0x080076D0	0x0800771F	thumb	RequestSpriteCopy
0x08007720	0x08007747	thumb	CopyFromSprites
0x08007748	0x0800776F	thumb	CopyToSprites
0x08007770	0x080077AB	thumb	ResetAllSprites
0x080077AC	0x080077C7	thumb	FreeSpriteTiles
0x080077C8	0x080077D5	thumb	FreeSpritePalette
0x080077D8	0x08007803	thumb	FreeSpriteOamMatrix
0x08007804	0x08007823	thumb	DestroySpriteAndFreeResources
0x08007824	0x0800786B	thumb	AnimateSprite
0x0800786C	0x0800795B	thumb	BeginAnim
0x0800795C	0x080079FB	thumb	ContinueAnim
0x080079FC	0x08007AA7	thumb	AnimCmd_frame
0x08007AA8	0x08007ABD	thumb	AnimCmd_end
0x08007AC0	0x08007B87	thumb	AnimCmd_jump
0x08007B88	0x08007BA5	thumb	AnimCmd_loop
0x08007BA8	0x08007BDF	thumb	BeginAnimLoop
0x08007BE0	0x08007BFF	thumb	ContinueAnimLoop
0x08007C00	0x08007C71	thumb	JumpToTopOfAnimLoop
0x08007C74	0x08007D07	thumb	BeginAffineAnim
0x08007D08	0x08007DBB	thumb	ContinueAffineAnim
0x08007DBC	0x08007DED	thumb	AffineAnimDelay
0x08007DF0	0x08007E23	thumb	AffineAnimCmd_loop
0x08007E24	0x08007E5F	thumb	BeginAffineAnimLoop
0x08007E60	0x08007E8F	thumb	ContinueAffineAnimLoop
0x08007E90	0x08007EFB	thumb	JumpToTopOfAffineAnimLoop
0x08007EFC	0x08007F47	thumb	AffineAnimCmd_jump
0x08007F48	0x08007F83	thumb	AffineAnimCmd_end
0x08007F84	0x08007FBB	thumb	AffineAnimCmd_frame
0x08007FBC	0x08007FDB	thumb	CopyOamMatrix
0x08007FDC	0x08007FFB	thumb	GetSpriteMatrixNum
0x08007FFC	0x0800800B	thumb	SetSpriteMatrixAnchor
0x0800800C	0x08008035	thumb	GetAnchorCoord
0x08008038	0x080080D3	thumb	UpdateSpriteMatrixAnchorPos
0x080080D4	0x08008145	thumb	SetSpriteOamFlipBits
0x08008148	0x08008163	thumb	AffineAnimStateRestartAnim
0x08008164	0x0800818B	thumb	AffineAnimStateStartAnim
0x0800818C	0x080081B3	thumb	AffineAnimStateReset
0x080081B4	0x080081D7	thumb	ApplyAffineAnimFrameAbsolute
0x080081D8	0x080081FF	thumb	DecrementAnimDelayCounter
0x08008200	0x0800822F	thumb	DecrementAffineAnimDelayCounter
0x08008230	0x080082C7	thumb	ApplyAffineAnimFrameRelativeAndUpdateMatrix
0x080082C8	0x080082DF	thumb	ConvertScaleParam
0x080082E0	0x0800834B	thumb	GetAffineAnimFrame
0x0800834C	0x08008389	thumb	ApplyAffineAnimFrame
0x0800838C	0x080083A3	thumb	StartSpriteAnim
0x080083A4	0x080083BD	thumb	StartSpriteAnimIfDifferent
0x080083C0	0x08008439	thumb	SeekSpriteAnim
0x0800843C	0x08008467	thumb	StartSpriteAffineAnim
0x08008468	0x0800849B	thumb	StartSpriteAffineAnimIfDifferent
0x0800849C	0x080084D3	thumb	ChangeSpriteAffineAnim
0x080084D4	0x08008507	thumb	ChangeSpriteAffineAnimIfDifferent
0x08008508	0x0800855F	thumb	SetSpriteSheetFrameTileNum
0x08008560	0x08008593	thumb	ResetAffineAnimData
0x08008594	0x080085CB	thumb	AllocOamMatrix
0x080085CC	0x0800860B	thumb	FreeOamMatrix
0x0800860C	0x08008659	thumb	InitSpriteAffineAnim
0x0800865C	0x080086DB	thumb	SetOamMatrixRotationScaling
0x080086DC	0x0800871F	thumb	LoadSpriteSheet
0x08008720	0x08008749	thumb	LoadSpriteSheets
0x0800874C	0x080087C3	thumb	FreeSpriteTilesByTag
0x080087C4	0x08008803	thumb	FreeSpriteTileRanges
0x08008804	0x0800882F	thumb	GetSpriteTileStartByTag
0x08008830	0x0800885B	thumb	IndexOfSpriteTileTag
0x0800885C	0x080088A7	thumb	GetSpriteTileTagByTileStart
0x080088A8	0x080088EF	thumb	AllocSpriteTileRange
0x080088F0	0x08008927	thumb	FreeAllSpritePalettes
0x08008928	0x08008973	thumb	LoadSpritePalette
0x08008974	0x0800899F	thumb	LoadSpritePalettes
0x080089A0	0x080089B5	thumb	DoLoadSpritePalette
0x080089B8	0x080089E7	thumb	AllocSpritePalette
0x080089E8	0x08008A1F	thumb	IndexOfSpritePaletteTag
0x08008A20	0x08008A2F	thumb	GetSpritePaletteTagByPaletteNum
0x08008A30	0x08008A57	thumb	FreeSpritePaletteByTag
0x08008A58	0x08008A61	thumb	SetSubspriteTables
0x08008A64	0x08008ACF	thumb	AddSpriteToOamBuffer
0x08008AD0	0x08008CF3	thumb	AddSubspritesToOamBuffer
0x08008CF4	0x08008D25	thumb	StringCopy_Nickname
0x08008D28	0x08008D51	thumb	StringGet_Nickname
0x08008D54	0x08008D81	thumb	StringCopy_PlayerName
0x08008D84	0x08008DA1	thumb	StringCopy
0x08008DA4	0x08008DBB	thumb	StringAppend
0x08008DBC	0x08008DE9	thumb	StringCopyN
0x08008DEC	0x08008E07	thumb	StringAppendN
0x08008E08	0x08008E27	thumb	StringLength
0x08008E28	0x08008E4B	thumb	StringCompare
0x08008E4C	0x08008E77	thumb	StringCompareN
0x08008E78	0x08008F17	thumb	ConvertIntToDecimalStringN
0x08008F18	0x08008FC9	thumb	ConvertIntToHexStringN
0x08008FCC	0x080090B7	thumb	StringExpandPlaceholders
0x080090B8	0x08009115	thumb	StringBraille
0x08009118	0x0800911F	thumb	ExpandPlaceholder_UnknownStringVar
0x08009120	0x0800912B	thumb	ExpandPlaceholder_PlayerName
0x0800912C	0x08009133	thumb	ExpandPlaceholder_StringVar1
0x08009134	0x0800913B	thumb	ExpandPlaceholder_StringVar2
0x0800913C	0x08009143	thumb	ExpandPlaceholder_StringVar3
0x08009144	0x08009167	thumb	ExpandPlaceholder_KunChan
0x08009168	0x080091A5	thumb	ExpandPlaceholder_RivalName
0x080091A8	0x080091AF	thumb	ExpandPlaceholder_Version
0x080091B0	0x080091B7	thumb	ExpandPlaceholder_Magma
0x080091B8	0x080091BF	thumb	ExpandPlaceholder_Aqua
0x080091C0	0x080091C7	thumb	ExpandPlaceholder_Maxie
0x080091C8	0x080091CF	thumb	ExpandPlaceholder_Archie
0x080091D0	0x080091D7	thumb	ExpandPlaceholder_Groudon
0x080091D8	0x080091DF	thumb	ExpandPlaceholder_Kyogre
0x080091E0	0x08009203	thumb	GetExpandedPlaceholder
0x08009204	0x0800922D	thumb	StringFill
0x08009230	0x08009283	thumb	StringCopyPadded
0x08009284	0x08009293	thumb	StringFillWithTerminator
0x08009294	0x080092D1	thumb	StringCopyN_Multibyte
0x080092D4	0x080092F3	thumb	StringLength_Multibyte
0x080092F4	0x0800932D	thumb	WriteColorChangeControlCode
0x08009330	0x0800934B	thumb	GetExtCtrlCodeLength
0x0800934C	0x0800936D	thumb	SkipExtCtrlCode
0x08009370	0x080093B9	thumb	StringCompareWithoutExtCtrlCodes
0x080093BC	0x08009421	thumb	ConvertInternationalString
0x08009424	0x0800947F	thumb	StripExtCtrlCodes
0x08009480	0x080094D1	thumb	IsWirelessAdapterConnected
0x080094D4	0x080094E1	thumb	Task_DestroySelf
0x080094E4	0x080095B9	thumb	InitLinkTestBG
0x080095BC	0x0800963F	thumb	LoadLinkTestBgGfx
0x08009640	0x080096F7	thumb	LinkTestScreen
0x080096F8	0x08009707	thumb	SetLocalLinkPlayerId
0x08009708	0x0800978B	thumb	InitLocalLinkPlayer
0x0800978C	0x0800979D	thumb	VBlankCB_LinkError
0x080097A0	0x080097CB	thumb	InitLink
0x080097CC	0x08009803	thumb	Task_TriggerHandshake
0x08009804	0x080098B7	thumb	OpenLink
0x080098B8	0x080098E7	thumb	CloseLink
0x080098E8	0x080099CF	thumb	TestBlockTransfer
0x080099D0	0x08009A8B	thumb	LinkTestProcessKeyInput
0x08009A8C	0x08009AAF	thumb	CB2_LinkTest
0x08009AB0	0x08009B27	thumb	LinkMain2
0x08009B28	0x08009B6F	thumb	HandleReceiveRemoteLinkPlayer
0x08009B70	0x08009E5F	thumb	ProcessRecvCmds
0x08009E60	0x08009FE7	thumb	BuildSendCmd
0x08009FE8	0x0800A00B	thumb	StartSendingKeysToLink
0x0800A00C	0x0800A03D	thumb	IsSendingKeysToLink
0x0800A040	0x0800A05B	thumb	LinkCB_SendHeldKeys
0x0800A05C	0x0800A067	thumb	ClearLinkCallback
0x0800A068	0x0800A087	thumb	ClearLinkCallback_2
0x0800A088	0x0800A0B3	thumb	GetLinkPlayerCount
0x0800A0B4	0x0800A0CF	thumb	OpenLinkTimed
0x0800A0D0	0x0800A1EF	thumb	GetLinkPlayerDataExchangeStatusTimed
0x0800A1F0	0x0800A257	thumb	IsLinkPlayerDataExchangeComplete
0x0800A258	0x0800A26F	thumb	GetLinkPlayerTrainerId
0x0800A270	0x0800A293	thumb	ResetLinkPlayers
0x0800A294	0x0800A2A7	thumb	ResetBlockSend
0x0800A2A8	0x0800A317	thumb	InitBlockSend
0x0800A318	0x0800A33B	thumb	LinkCB_BlockSendBegin
0x0800A33C	0x0800A39F	thumb	LinkCB_BlockSend
0x0800A3A0	0x0800A3AB	thumb	LinkCB_BlockSendEnd
0x0800A3AC	0x0800A3CB	thumb	LinkCB_BerryBlenderSendHeldKeys
0x0800A3CC	0x0800A3E7	thumb	SetBerryBlenderLinkCallback
0x0800A3E8	0x0800A3F3	thumb	GetBerryBlenderKeySendAttempts
0x0800A3F4	0x0800A403	thumb	SendBerryBlenderNoSpaceForPokeblocks
0x0800A404	0x0800A42B	thumb	GetMultiplayerId
0x0800A42C	0x0800A447	thumb	BitmaskAllOtherLinkPlayers
0x0800A448	0x0800A471	thumb	SendBlock
0x0800A474	0x0800A4BB	thumb	SendBlockRequest
0x0800A4BC	0x0800A4EB	thumb	IsLinkTaskFinished
0x0800A4EC	0x0800A523	thumb	GetBlockReceivedStatus
0x0800A524	0x0800A54F	thumb	SetBlockReceivedFlag
0x0800A550	0x0800A587	thumb	ResetBlockReceivedFlags
0x0800A588	0x0800A5BB	thumb	ResetBlockReceivedFlag
0x0800A5BC	0x0800A5E3	thumb	CheckShouldAdvanceLinkState
0x0800A5E4	0x0800A611	thumb	LinkTestCalcBlockChecksum
0x0800A614	0x0800A64B	thumb	LinkTest_PrintNumChar
0x0800A64C	0x0800A683	thumb	LinkTest_PrintChar
0x0800A684	0x0800A6D7	thumb	LinkTest_PrintHex
0x0800A6D8	0x0800A71D	thumb	LinkTest_PrintString
0x0800A720	0x0800A74B	thumb	LinkCB_RequestPlayerDataExchange
0x0800A74C	0x0800A88F	thumb	Task_PrintTestData
0x0800A890	0x0800A8A3	thumb	SetLinkDebugValues
0x0800A8A4	0x0800A8D3	thumb	GetSavedLinkPlayerCountAsBitFlags
0x0800A8D4	0x0800A8FD	thumb	GetLinkPlayerCountAsBitFlags
0x0800A900	0x0800A943	thumb	SaveLinkPlayers
0x0800A944	0x0800A94F	thumb	GetSavedPlayerCount
0x0800A950	0x0800A95B	thumb	GetSavedMultiplayerId
0x0800A95C	0x0800A9A3	thumb	DoesLinkPlayerCountMatchSaved
0x0800A9A4	0x0800AA23	thumb	CheckLinkPlayersMatchSaved
0x0800AA24	0x0800AA37	thumb	ResetLinkPlayerCount
0x0800AA38	0x0800AA47	thumb	GetLinkPlayerCount_2
0x0800AA48	0x0800AA73	thumb	IsLinkMaster
0x0800AA74	0x0800AA7F	thumb	GetDummy2
0x0800AA80	0x0800AABF	thumb	SetCloseLinkCallbackAndType
0x0800AAC0	0x0800AB0B	thumb	SetCloseLinkCallback
0x0800AB0C	0x0800AB37	thumb	LinkCB_ReadyCloseLink
0x0800AB38	0x0800AB9B	thumb	LinkCB_WaitCloseLink
0x0800AB9C	0x0800ABD3	thumb	SetLinkStandbyCallback
0x0800ABD4	0x0800ABFF	thumb	LinkCB_Standby
0x0800AC00	0x0800AC57	thumb	LinkCB_StandbyForAll
0x0800AC58	0x0800ACBB	thumb	CheckErrorStatus
0x0800ACBC	0x0800ACD3	thumb	SetLinkErrorFromRfu
0x0800ACD4	0x0800AE1B	thumb	CB2_LinkError
0x0800AE1C	0x0800AECF	thumb	ErrorMsg_MoveCloserToPartner
0x0800AED0	0x0800AF2B	thumb	ErrorMsg_CheckConnections
0x0800AF2C	0x0800B053	thumb	CB2_PrintErrorMessage
0x0800B054	0x0800B063	thumb	GetSioMultiSI
0x0800B064	0x0800B08B	thumb	IsSioMultiMaster
0x0800B08C	0x0800B09B	thumb	IsLinkConnectionEstablished
0x0800B09C	0x0800B0A7	thumb	SetSuppressLinkErrorMessage
0x0800B0A8	0x0800B0B3	thumb	HasLinkErrorOccurred
0x0800B0B4	0x0800B10F	thumb	LocalLinkPlayerToBlock
0x0800B110	0x0800B177	thumb	LinkPlayerFromBlock
0x0800B178	0x0800B1F3	thumb	HandleLinkConnection
0x0800B1F4	0x0800B20F	thumb	SetWirelessCommType1
0x0800B210	0x0800B22B	thumb	SetWirelessCommType0_Internal
0x0800B22C	0x0800B247	thumb	SetWirelessCommType0
0x0800B248	0x0800B26F	thumb	GetLinkRecvQueueLength
0x0800B270	0x0800B283	thumb	IsLinkRecvQueueAtOverworldMax
0x0800B284	0x0800B299	thumb	ConvertLinkPlayerName
0x0800B29C	0x0800B2F3	thumb	DisableSerial
0x0800B2F4	0x0800B387	thumb	EnableSerial
0x0800B388	0x0800B395	thumb	ResetSerial
0x0800B398	0x0800B4C1	thumb	LinkMain1
0x0800B4C4	0x0800B4EF	thumb	CheckMasterOrSlave
0x0800B4F0	0x0800B51F	thumb	InitTimer
0x0800B520	0x0800B607	thumb	EnqueueSendCmd
0x0800B608	0x0800B717	thumb	DequeueRecvCmds
0x0800B718	0x0800B787	thumb	LinkVSync
0x0800B788	0x0800B795	thumb	Timer3Intr
0x0800B798	0x0800B81F	thumb	SerialCB
0x0800B820	0x0800B82F	thumb	StartTransfer
0x0800B830	0x0800B929	thumb	DoHandshake
0x0800B92C	0x0800BA43	thumb	DoRecv
0x0800BA44	0x0800BAF7	thumb	DoSend
0x0800BAF8	0x0800BB2B	thumb	StopTimer
0x0800BB2C	0x0800BB5B	thumb	SendRecvDone
0x0800BB5C	0x0800BBAF	thumb	ResetSendBuffer
0x0800BBB0	0x0800BC1F	thumb	ResetRecvBuffer
0x0800BC20	0x0800BC5B	thumb	MultiBootInit
0x0800BC5C	0x0800C049	thumb	MultiBootMain
0x0800C04C	0x0800C095	thumb	MultiBootSend
0x0800C098	0x0800C0B9	thumb	MultiBootStartProbe
0x0800C0BC	0x0800C17D	thumb	MultiBootStartMaster
0x0800C180	0x0800C191	thumb	MultiBootCheckComplete
0x0800C194	0x0800C27D	thumb	MultiBootHandShake
0x0800C280	0x0800C297	thumb	MultiBootWaitCycles
0x0800C298	0x0800C2D3	thumb	MultiBootWaitSendDone
0x0800C2D4	0x0800C2E9	thumb	CB2_MainMenu
